                                 mean        std        2.5q        25q        50q        75q       97.5q       mc err
t_subj.15                     1.09876   0.190189    0.659353   0.989991    1.12152    1.23426      1.4025   0.00250775
t_subj.16                     1.50946    0.21302     1.01802    1.38632    1.53966    1.66193     1.83931   0.00271131
t_subj.17                     3.14095   0.283392     2.48162    2.97803    3.17741    3.34213     3.59103   0.00308451
t_subj.18                     1.38637  0.0805051     1.19533    1.34327    1.39972    1.44414     1.50349   0.00107887
t_subj.19                     1.50704   0.097425     1.28394    1.44986    1.52017    1.57738     1.65896   0.00120888
t_subj.20                     3.01285   0.292996     2.32869    2.84676    3.05187    3.22231     3.47157   0.00383119
t_subj.21                     1.80327   0.318744     1.06224    1.62324    1.85396    2.03335     2.27865    0.0041088
t_subj.22                    0.999363  0.0924136    0.778658   0.948899    1.01285    1.06634     1.13911   0.00122061
t_subj.23                   0.0874169  0.0714401  0.00366503  0.0308161  0.0699377   0.126664    0.264681   0.00100987
t_subj.24                     1.57282   0.247055     1.00123    1.43017    1.60539    1.74959     1.97043   0.00371833
t_subj.25                     5.24482   0.653975       3.753    4.86054    5.32329    5.71359     6.28119    0.0104871
t_subj.26                    0.352934  0.0769737    0.164625   0.311155   0.364621   0.407855    0.469259   0.00127204
t_subj.27                     2.64926   0.107399     2.39681    2.58816     2.6644    2.72675     2.81389   0.00133875
t_subj.28                     1.55468   0.256642    0.958331    1.40935    1.58944    1.73812     1.95516   0.00382718
t_subj.29                    0.458788  0.0380187    0.369064   0.437296   0.464784   0.486143    0.515809  0.000473362
t_subj.30                     1.26039   0.102963     1.02561    1.20116    1.27377    1.33477     1.42125   0.00137956
t_subj.31                     4.99796   0.384547     4.08921    4.78629    5.06245    5.27485     5.56282   0.00547446
t_subj.32                     2.47627    0.10299     2.23926    2.41666     2.4896    2.55062      2.6372   0.00134647
t_subj.33                     2.86159   0.090393     2.65075    2.81069    2.87567    2.92725     2.99664   0.00111124
t_subj.34                      0.8861    0.09931    0.651638   0.831904   0.901618   0.957106     1.03411   0.00148152
t_subj.35                     1.76409   0.143705     1.42525    1.68366    1.78508    1.86758     1.98483   0.00193757
t_subj.36                     1.71619   0.284951     1.05678    1.55315    1.75509    1.92023     2.15425   0.00354151
t_subj.37                    0.580748   0.157601    0.212451   0.487566   0.600104   0.695296    0.833096   0.00191607
t_subj.38                     1.00637   0.137211    0.686722   0.927169    1.02277    1.10533     1.22586   0.00173072
t_subj.39                     1.77979  0.0910138     1.56456    1.72957    1.79364    1.84551      1.9166   0.00101774
t_subj.40                    0.398698  0.0656523    0.245172   0.361736   0.408188   0.445699    0.499621   0.00129566
t_subj.41                     3.58132   0.246951     3.01238    3.44007    3.61172    3.75779     3.97396   0.00298828
t_subj.42                    0.425425  0.0397894    0.334931   0.402165   0.430593   0.454084    0.487781  0.000649315
t_subj.43                    0.400059   0.156188   0.0716103   0.293582   0.413778   0.516836    0.670279   0.00209728
t_subj.44                      1.3356  0.0412179     1.23698     1.3135    1.34227     1.3651     1.39565  0.000491081
t_subj.45                     1.74646   0.123705     1.45799    1.67879    1.76423    1.83516     1.93296   0.00161649
t_subj.46                     1.63316   0.136467     1.31562    1.55428    1.64995    1.73079     1.84852   0.00164381
t_subj.47                     1.41222   0.268745    0.809028    1.25324    1.44265    1.60575     1.84907   0.00349169
t_subj.48                     1.43269   0.229036    0.913063      1.305    1.46169    1.59379     1.79474   0.00287657
t_subj.49                     1.23468   0.297213    0.528176    1.06643    1.28168    1.45123     1.68501   0.00464531
sz                           0.132664  0.0783964  0.00721155  0.0678253   0.130244   0.190013    0.286578   0.00176863
z                            0.514882  0.0120096    0.491179   0.506823   0.514817   0.522992    0.538559  0.000194826
z_std                        0.253342   0.044303    0.171784   0.223098   0.251201   0.281233    0.347502  0.000913886
z_subj.1                     0.488616  0.0351709    0.420673   0.464534   0.488369   0.512444    0.557362  0.000393837
z_subj.2                     0.515432   0.035654    0.444999   0.491727   0.515929   0.539472    0.584006  0.000394629
z_subj.3                     0.582538   0.038792    0.505829    0.55636    0.58264   0.609389    0.656701  0.000495517
z_subj.4                     0.499352  0.0352231    0.429187   0.475864    0.49995   0.523334    0.567228  0.000328592
z_subj.5                     0.552049  0.0354638    0.482109   0.527844   0.552361   0.576139    0.619864  0.000376242
z_subj.6                     0.562327   0.035132    0.493068   0.538756   0.562571    0.58605    0.630596  0.000329119
z_subj.7                     0.577764  0.0392941    0.501592   0.551183    0.57796   0.604294    0.654524  0.000530852
z_subj.8                     0.528712  0.0375286    0.453256   0.504195   0.529202   0.553632    0.601047   0.00046867
z_subj.9                     0.438275   0.046242    0.346413   0.407183   0.438347   0.469913    0.527977  0.000611349
z_subj.10                    0.519026  0.0374069    0.444902   0.494034   0.519229   0.544373    0.591448  0.000418883
z_subj.11                    0.500474  0.0362877    0.428301   0.476209   0.500351   0.525001    0.571467  0.000354051
z_subj.12                    0.455044  0.0366054    0.384067   0.429953   0.454837   0.479639     0.52792  0.000453214
z_subj.13                    0.491977   0.036528    0.420964   0.467128   0.491977   0.516603    0.563866  0.000390119
z_subj.15                    0.476881  0.0361711     0.40648   0.452414   0.477197   0.501174    0.547833  0.000392043
z_subj.16                    0.538708  0.0362495    0.468215   0.514107   0.538424   0.563548    0.608909  0.000435205
z_subj.17                    0.524602  0.0370536     0.45184   0.499636   0.524222   0.549623    0.598383  0.000452001
z_subj.18                    0.460726   0.037944    0.384682   0.434708   0.460924   0.486355    0.533816  0.000442054
z_subj.19                    0.521685  0.0347834    0.452917   0.498203   0.522071   0.545477    0.589231  0.000342571
z_subj.20                     0.49903  0.0369971    0.426321   0.474578   0.499418   0.523711    0.571265  0.000429688
z_subj.21                    0.458484  0.0411962    0.377944   0.430266   0.458985   0.485846    0.540278  0.000626299
z_subj.22                    0.540338  0.0361413    0.469892   0.515999   0.540326   0.565049    0.610956  0.000436312
z_subj.23                     0.58768  0.0380744    0.513004   0.562187   0.588031   0.613544    0.661388  0.000503313
z_subj.24                    0.560545  0.0377572    0.485142   0.535697   0.560761   0.586031    0.634599  0.000433892
z_subj.25                    0.470016  0.0385363    0.395504   0.443813   0.469758   0.495685    0.546273  0.000536425
z_subj.26                    0.624001  0.0413635    0.542754    0.59588   0.624496   0.652655    0.702903  0.000677028
z_subj.27                    0.467943  0.0377673     0.39376    0.44228   0.468013   0.493303     0.54199  0.000415427
z_subj.28                    0.518754   0.036298    0.446343   0.494337    0.51905   0.543909    0.587982  0.000478314
z_subj.29                    0.479463  0.0361542    0.407493   0.455131   0.479714     0.5036    0.551427  0.000372119
z_subj.30                     0.49381  0.0352582    0.424669   0.470379   0.493966   0.517383    0.563758  0.000357936
z_subj.31                    0.545275  0.0387387    0.469788   0.519107   0.545434   0.571484     0.62226  0.000500294
z_subj.32                    0.472423  0.0374554    0.398037   0.447029   0.472728   0.497995    0.544988  0.000392946
z_subj.33                    0.454576  0.0358916    0.384578   0.430448   0.454595   0.478659    0.524452  0.000435457
z_subj.34                    0.588032  0.0424046    0.503477   0.559888   0.588203   0.616826    0.669646  0.000539766
z_subj.35                    0.485808  0.0369763    0.412281   0.460508   0.486457   0.511389    0.556431  0.000376475
z_subj.36                    0.500298  0.0373017    0.425405   0.475307   0.500314   0.525669    0.573234  0.000450301
